ID,T1,T2,T3,T4,T5,T6,T7,group,morph
P1,8.00000001,6,NA,18,15.99999999,NA,NA,1,ed
P5,14.00000001,21,NA,26.00000001,30,NA,NA,1,ed
P9,11.00000001,15,NA,21,24.99999999,NA,NA,1,ed
P10,6.99999999,8.00000001,NA,21,20.00000001,NA,NA,1,ed
P12,15,3,NA,18,15,NA,NA,1,ed
P14,0.99999999,3,NA,17.00000001,15,NA,NA,1,ed
P16,6,2.00000001,NA,24.99999999,8.00000001,NA,NA,1,ed
P18,3,0,NA,12.99999999,12,NA,NA,1,ed
P22,3,3.99999999,NA,14.00000001,8.00000001,NA,NA,1,ed
P23,14.00000001,14.00000001,NA,24.99999999,14.00000001,NA,NA,1,ed
P3,5.00000001,NA,3,6.99999999,NA,15,14.00000001,2,ed
P4,12.99999999,NA,5.00000001,6,NA,12,12,2,ed
P6,3.99999999,NA,3.99999999,2.00000001,NA,15,14.00000001,2,ed
P7,0.99999999,NA,3,6,NA,11.00000001,15,2,ed
P11,0.99999999,NA,0,0,NA,6,3.99999999,2,ed
P13,9.99999999,NA,15,12.99999999,NA,27,30,2,ed
P15,0.99999999,NA,0,0.99999999,NA,8.00000001,6,2,ed
P19,2.00000001,NA,3.99999999,0.99999999,NA,9.99999999,9.99999999,2,ed
P20,5.00000001,NA,2.00000001,6,NA,9.99999999,3,2,ed
P21,6.99999999,NA,6,8.00000001,NA,21.99999999,21.99999999,2,ed
P1,2.00000001,2.00000001,NA,5.00000001,6,NA,NA,1,s3
P5,20.00000001,27.99999999,NA,24,27,NA,NA,1,s3
P9,23.00000001,21,NA,24,27,NA,NA,1,s3
P10,11.00000001,6,NA,3.99999999,6.99999999,NA,NA,1,s3
P12,6.99999999,9,NA,14.00000001,14.00000001,NA,NA,1,s3
P14,3,3,NA,18,14.00000001,NA,NA,1,s3
P16,3.99999999,0,NA,9,0,NA,NA,1,s3
P18,0,0.99999999,NA,0.99999999,3,NA,NA,1,s3
P22,6.99999999,2.00000001,NA,12,12,NA,NA,1,s3
P23,11.00000001,24.99999999,NA,24.99999999,24,NA,NA,1,s3
P3,14.00000001,NA,15,12.99999999,NA,18,15,2,s3
P4,15.99999999,NA,9,8.00000001,NA,6.99999999,8.00000001,2,s3
P6,0.99999999,NA,3.99999999,5.00000001,NA,15,15,2,s3
P7,0,NA,6.99999999,9,NA,6,6.99999999,2,s3
P11,0,NA,0,0,NA,0,0.99999999,2,s3
P13,21.99999999,NA,20.00000001,27,NA,27.99999999,27.99999999,2,s3
P15,0.99999999,NA,3,0,NA,6,2.00000001,2,s3
P19,0.99999999,NA,0.99999999,0.99999999,NA,2.00000001,3,2,s3
P20,0,NA,0.99999999,5.00000001,NA,0.99999999,0,2,s3
P21,6,NA,12,12.99999999,NA,12.99999999,20.00000001,2,s3
P1,9.99999999,21,NA,9.99999999,8.00000001,NA,NA,1,poss
P5,18.99999999,15,NA,30,24.99999999,NA,NA,1,poss
P9,5.00000001,3,NA,11.00000001,8.00000001,NA,NA,1,poss
P10,14.00000001,24,NA,26.00000001,20.00000001,NA,NA,1,poss
P12,15,12.99999999,NA,15,18,NA,NA,1,poss
P14,0.99999999,0,NA,0.99999999,3,NA,NA,1,poss
P16,21.99999999,15.99999999,NA,20.00000001,0.99999999,NA,NA,1,poss
P18,8.00000001,12,NA,9.99999999,9,NA,NA,1,poss
P22,0,0.99999999,NA,0,0,NA,NA,1,poss
P23,24,27.99999999,NA,27,29.00000001,NA,NA,1,poss
P3,9,NA,9.99999999,8.00000001,NA,15,18.99999999,2,poss
P4,14.00000001,NA,0.99999999,2.00000001,NA,5.00000001,5.00000001,2,poss
P6,14.00000001,NA,5.00000001,6.99999999,NA,5.00000001,6.99999999,2,poss
P7,2.00000001,NA,0,3,NA,5.00000001,2.00000001,2,poss
P11,3.99999999,NA,3,8.00000001,NA,11.00000001,8.00000001,2,poss
P13,9.99999999,NA,3,21.99999999,NA,18,26.00000001,2,poss
P15,2.00000001,NA,2.00000001,0,NA,0.99999999,2.00000001,2,poss
P19,0.99999999,NA,0,0.99999999,NA,6,6.99999999,2,poss
P20,0,NA,0.99999999,3,NA,0,0,2,poss
P21,12,NA,14.00000001,18,NA,9.99999999,23.00000001,2,poss