Minutes,P11,P12
1,72.81553398,158.7378641
2,122.3300971,58.25242718
3,52.42718447,64.0776699
4,81.55339806,50.97087379
5,32.03883495,33.49514563
6,64.0776699,21.84466019
7,0,36.40776699
8,39.32038835,43.68932039
9,24.75728155,7.281553398
10,29.12621359,42.23300971
11,24.75728155,37.86407767
12,26.21359223,21.84466019
13,36.40776699,50.97087379
14,53.88349515,24.75728155
15,46.60194175,20.38834951
16,56.7961165,-4.368932039
17,75.72815534,43.68932039
18,49.51456311,77.18446602
19,97.57281553,24.75728155
20,69.90291262,8.737864078